#TinyMapData
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,160,160,160,160,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,160,160,160,160,160,-1,-1,-1,-1,160,160,-1
-1,-1,-1,-1,-1,-1,-1,-1,160,-1,160,-1,160,160,160,-1,160,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,160,160,160,160,160,160,160,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,160,160,160,160,160,160,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,160,160,160,-1,-1,160,160,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,160,160,160,160,-1,-1,-1,160,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,160,160,160,160,160,-1,-1,160,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,160,-1,160,-1,-1,160,-1,160,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,160,160,-1,160,-1,-1,-1,160,160,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
